codigo_x,prediction,actual,,,
7909,1,1,TP,-,
7914,1,1,TP,-,
6083,1,1,TP,-,
7168,1,1,TP,-,
4647,0,0,TP,-,
6839,1,1,TP,-,
7392,1,0,FP,FN,
6832,1,1,TP,-,
8042,1,1,TP,-,
7786,1,1,TP,-,
7876,0,0,TP,-,
7738,0,0,TP,-,
5447,1,1,TP,-,
3676,1,1,TP,-,
3525,1,1,TP,-,
6083,1,1,TP,-,
6203,1,1,TP,-,
7584,0,0,TP,-,
7812,0,0,TP,-,
7620,0,0,TP,-,
4366,1,1,TP,-,
6766,1,1,TP,-,
7536,1,1,TP,-,
8158,0,0,TP,-,
4832,1,1,TP,-,
7573,0,0,TP,-,
7280,1,0,FP,FN,
2112,1,1,TP,-,
8048,1,1,TP,-,
7338,1,1,TP,-,
7542,1,1,TP,-,
7462,1,0,FP,FN,
7801,1,1,TP,-,
7583,0,0,TP,-,
4385,1,1,TP,-,
849,1,1,TP,-,
7741,1,0,FP,FN,
7298,1,1,TP,-,
7854,1,0,FP,FN,
4385,1,1,TP,-,
5677,1,1,TP,-,
4314,1,1,TP,-,
8061,1,0,FP,FN,
8023,0,1,FP,-,
7239,0,0,TP,-,
236,1,0,FP,FN,
7057,1,0,FP,FN,
7801,1,0,FP,FN,
7298,1,1,TP,-,
8027,0,0,TP,-,
5412,1,1,TP,-,
7457,1,0,FP,FN,
6690,1,1,TP,-,
6958,1,0,FP,FN,
854,1,1,TP,-,
7775,1,0,FP,FN,
7592,0,0,TP,-,
7607,1,0,FP,FN,
7989,1,1,TP,-,
8036,1,1,TP,-,
3676,1,1,TP,-,
7717,1,1,TP,-,
5965,1,1,TP,-,
7545,1,1,TP,-,
4958,1,1,TP,-,
7484,1,0,FP,FN,
4366,1,0,FP,FN,
6849,1,0,FP,FN,
4514,1,1,TP,-,
7788,1,0,FP,FN,
7979,0,0,TP,-,
7800,1,1,TP,-,
449,1,1,TP,-,
7515,1,0,FP,FN,
2112,1,0,FP,FN,
7632,1,1,TP,-,
449,1,1,TP,-,
5181,1,1,TP,-,
7259,1,1,TP,-,
7776,1,1,TP,-,
7259,1,1,TP,-,
6839,1,1,TP,-,
3326,1,1,TP,-,
2522,1,1,TP,-,
2522,1,1,TP,-,
7965,0,0,TP,-,
7708,1,1,TP,-,
6582,1,1,TP,-,
6682,1,1,TP,-,
7905,0,0,TP,-,
7057,1,1,TP,-,
7212,0,0,TP,-,
2897,1,1,TP,-,
7708,1,1,TP,-,
7600,0,0,TP,-,
5704,1,1,TP,-,
236,1,1,TP,-,
7600,0,0,TP,-,
1123,1,1,TP,-,
5412,1,1,TP,-,
5232,1,1,TP,-,
7571,0,0,TP,-,
7681,1,0,FP,FN,
7633,1,1,TP,-,
1424,1,1,TP,-,
6205,1,1,TP,-,
7080,1,1,TP,-,
3525,1,1,TP,-,
5181,1,1,TP,-,
442,0,1,FP,-,
7632,1,1,TP,-,
7515,1,0,FP,FN,
1419,1,1,TP,-,
4137,1,1,TP,-,
7707,0,0,TP,-,
3326,1,1,TP,-,
3321,1,1,TP,-,
5644,1,1,TP,-,
6934,1,1,TP,-,
7935,1,0,FP,FN,
7663,1,1,TP,-,
6206,1,1,TP,-,
6690,1,1,TP,-,
7226,1,1,TP,-,
6690,1,1,TP,-,
3160,1,1,TP,-,
7226,0,1,FP,-,
7212,0,0,TP,-,
3318,1,1,TP,-,
1123,1,1,TP,-,
7167,1,0,FP,FN,
7298,1,1,TP,-,
5646,1,1,TP,-,
7616,0,0,TP,-,
7338,1,1,TP,-,
7704,1,0,FP,FN,
7593,1,1,TP,-,
7298,1,1,TP,-,
7259,1,1,TP,-,
5201,1,1,TP,-,
7779,1,1,TP,-,
4958,1,1,TP,-,
2522,1,1,TP,-,
6427,0,0,TP,-,
2112,1,0,FP,FN,
7395,1,1,TP,-,
7574,0,0,TP,-,
5933,1,1,TP,-,
881,1,0,FP,FN,
4458,1,0,FP,FN,
3525,1,1,TP,-,
7985,1,0,FP,FN,
8069,1,1,TP,-,
5704,1,1,TP,-,
7700,0,0,TP,-,
3652,1,0,FP,FN,
7705,0,0,TP,-,
7770,1,1,TP,-,
4514,1,1,TP,-,
8078,1,1,TP,-,
7392,1,0,FP,FN,
442,1,1,TP,-,
3979,1,1,TP,-,
6765,1,1,TP,-,
6565,1,1,TP,-,
5588,1,1,TP,-,
5646,1,1,TP,-,
5429,1,1,TP,-,
4504,1,1,TP,-,
5027,1,1,TP,-,
6685,1,1,TP,-,
4314,1,1,TP,-,
6685,1,1,TP,-,
5644,1,1,TP,-,
5644,1,1,TP,-,
7821,0,1,FP,-,
2897,1,1,TP,-,
5000,1,1,TP,-,
7869,1,1,TP,-,
6685,1,1,TP,-,
2112,1,1,TP,-,
7417,0,0,TP,-,
3780,1,1,TP,-,
7884,1,0,FP,FN,
6582,0,1,FP,-,
7958,1,0,FP,FN,
3652,1,1,TP,-,
5232,1,1,TP,-,
7939,0,0,TP,-,
3979,1,1,TP,-,
7942,1,1,TP,-,
7869,0,1,FP,-,
7421,1,1,TP,-,
1419,1,1,TP,-,
8066,1,1,TP,-,
5412,1,1,TP,-,
7356,1,0,FP,FN,
7647,1,0,FP,FN,
6821,1,0,FP,FN,
7724,0,0,TP,-,
4746,1,1,TP,-,
4807,1,1,TP,-,
7542,1,1,TP,-,
8017,0,0,TP,-,
4385,1,1,TP,-,
7312,1,0,FP,FN,
6877,1,1,TP,-,
6206,1,1,TP,-,
7655,1,0,FP,FN,
6461,1,1,TP,-,
6504,0,0,TP,-,
214,1,1,TP,-,
5280,1,1,TP,-,
4775,1,1,TP,-,
5027,1,1,TP,-,
7703,0,0,TP,-,
3652,1,1,TP,-,
7800,1,1,TP,-,
6944,0,0,TP,-,
7295,1,1,TP,-,
2522,1,1,TP,-,
5646,1,1,TP,-,
7690,0,0,TP,-,
7922,1,0,FP,FN,
5646,1,1,TP,-,
5447,1,1,TP,-,
4807,1,1,TP,-,
7259,1,1,TP,-,
2522,1,1,TP,-,
5588,1,1,TP,-,
7846,1,1,TP,-,
6658,0,0,TP,-,
5646,1,1,TP,-,
7485,1,0,FP,FN,
8012,1,1,TP,-,
8146,1,1,TP,-,
7773,1,1,TP,-,
7779,1,1,TP,-,
849,1,1,TP,-,
7588,1,1,TP,-,
7693,1,0,FP,FN,
5933,1,1,TP,-,
4807,1,1,TP,-,
7650,1,0,FP,FN,
7269,1,1,TP,-,
7977,1,1,TP,-,
6083,1,1,TP,-,
3827,1,1,TP,-,
2112,1,0,FP,FN,
7976,0,0,TP,-,
7542,1,1,TP,-,
5965,1,1,TP,-,
7614,1,1,TP,-,
7732,1,0,FP,FN,
7170,1,1,TP,-,
854,1,1,TP,-,
7295,1,1,TP,-,
7485,1,0,FP,FN,
7750,1,1,TP,-,
6472,1,0,FP,FN,
1123,1,1,TP,-,
5677,1,1,TP,-,
3890,1,1,TP,-,
7536,1,1,TP,-,
8144,1,1,TP,-,
6567,0,0,TP,-,
5181,1,1,TP,-,
3780,1,1,TP,-,
7752,0,1,FP,-,
7168,1,1,TP,-,
7330,1,1,TP,-,
7736,0,0,TP,-,
7555,1,0,FP,FN,
1419,1,1,TP,-,
7750,1,1,TP,-,
6934,1,1,TP,-,
7226,1,1,TP,-,
7558,1,1,TP,-,
1424,1,1,TP,-,
7786,1,0,FP,FN,
7893,1,0,FP,FN,
7797,0,0,TP,-,
4504,1,1,TP,-,
3318,1,1,TP,-,
2522,1,1,TP,-,
8138,1,1,TP,-,
7168,1,1,TP,-,
7734,1,0,FP,FN,
6028,1,1,TP,-,
7896,1,1,TP,-,
7685,1,1,TP,-,
6028,1,1,TP,-,
7505,1,1,TP,-,
3676,1,1,TP,-,
5549,1,1,TP,-,
7430,1,1,TP,-,
4504,1,0,FP,FN,
7312,1,1,TP,-,
7814,1,1,TP,-,
6877,1,0,FP,FN,
3676,1,1,TP,-,
7528,1,1,TP,-,
854,1,1,TP,-,
7846,1,1,TP,-,
6379,1,0,FP,FN,
4314,1,1,TP,-,
7815,1,1,TP,-,
4746,1,1,TP,-,
6014,1,1,TP,-,
7818,1,1,TP,-,
6821,1,1,TP,-,
7754,1,1,TP,-,
7773,1,1,TP,-,
5139,1,1,TP,-,
7312,1,0,FP,FN,
7664,1,1,TP,-,
366,1,1,TP,-,
7847,0,0,TP,-,
8111,0,1,FP,-,
7775,1,0,FP,FN,
1123,1,1,TP,-,
7080,1,1,TP,-,
6885,0,1,FP,-,
7821,0,0,TP,-,
7667,0,0,TP,-,
5232,1,1,TP,-,
7331,1,0,FP,FN,
7588,1,1,TP,-,
7685,1,1,TP,-,
7057,1,0,FP,FN,
5000,1,1,TP,-,
7412,0,0,TP,-,
3221,1,1,TP,-,
7239,0,0,TP,-,
4832,1,1,TP,-,
7061,1,0,FP,FN,
5646,1,1,TP,-,
6765,1,1,TP,-,
449,1,1,TP,-,
6978,1,1,TP,-,
4314,1,1,TP,-,
6600,1,1,TP,-,
2522,1,1,TP,-,
5181,1,1,TP,-,
6978,1,1,TP,-,
2897,1,1,TP,-,
7880,1,0,FP,FN,
5549,1,1,TP,-,
6885,1,1,TP,-,
6203,1,1,TP,-,
6083,1,1,TP,-,
5677,1,1,TP,-,
7654,0,0,TP,-,
5201,1,1,TP,-,
7421,1,1,TP,-,
7883,1,0,FP,FN,
8037,1,0,FP,FN,
7061,1,1,TP,-,
7168,1,1,TP,-,
7734,0,0,TP,-,
7754,1,1,TP,-,
7619,0,0,TP,-,
6083,1,1,TP,-,
7834,1,1,TP,-,
7753,1,1,TP,-,
5646,1,1,TP,-,
5447,1,1,TP,-,
7885,1,1,TP,-,
5704,1,1,TP,-,
7942,0,1,FP,-,
7766,1,1,TP,-,
7663,1,1,TP,-,
7815,1,1,TP,-,
5677,1,1,TP,-,
3676,1,1,TP,-,
8080,1,0,FP,FN,
7536,1,1,TP,-,
7984,1,1,TP,-,
236,1,1,TP,-,
6600,1,1,TP,-,
6565,1,1,TP,-,
1424,1,1,TP,-,
6934,1,1,TP,-,
2451,0,0,TP,-,
5027,1,1,TP,-,
7536,1,1,TP,-,
3218,1,0,FP,FN,
7630,0,0,TP,-,
2112,1,0,FP,FN,
5745,1,0,FP,FN,
8147,0,0,TP,-,
6985,0,0,TP,-,
6885,1,1,TP,-,
2522,1,1,TP,-,
7857,0,0,TP,-,
7824,0,0,TP,-,
5232,1,1,TP,-,
7604,1,1,TP,-,
7627,0,0,TP,-,
6505,1,0,FP,FN,
7852,1,0,FP,FN,
7728,1,0,FP,FN,
7742,1,1,TP,-,
7984,1,1,TP,-,
7618,1,1,TP,-,
6206,1,1,TP,-,
7918,0,0,TP,-,
7269,1,1,TP,-,
7993,1,0,FP,FN,
6944,0,0,TP,-,
3221,1,1,TP,-,
6006,1,1,TP,-,
5506,0,0,TP,-,
6832,1,1,TP,-,
5588,1,0,FP,FN,
7715,1,1,TP,-,
7719,1,1,TP,-,
854,1,1,TP,-,
7655,1,1,TP,-,
6885,1,1,TP,-,
8100,1,1,TP,-,
4832,1,1,TP,-,
7634,1,0,FP,FN,
7643,0,0,TP,-,
4385,1,1,TP,-,
7378,1,0,FP,FN,
7330,1,1,TP,-,
5280,1,1,TP,-,
7643,0,0,TP,-,
6685,1,1,TP,-,
4958,1,1,TP,-,
8031,1,1,TP,-,
7887,0,0,TP,-,
3652,1,1,TP,-,
7430,1,1,TP,-,
7819,1,1,TP,-,
7994,1,1,TP,-,
7430,1,1,TP,-,
2897,1,1,TP,-,
6014,1,1,TP,-,
5588,1,1,TP,-,
6685,1,1,TP,-,
7915,0,0,TP,-,
5644,1,1,TP,-,
6203,1,1,TP,-,
3827,1,1,TP,-,
366,1,1,TP,-,
6061,1,0,FP,FN,
5506,0,0,TP,-,
1123,1,1,TP,-,
7586,0,0,TP,-,
5000,1,1,TP,-,
7848,1,1,TP,-,
7604,0,1,FP,-,
7664,1,1,TP,-,
7823,1,0,FP,FN,
6918,0,0,TP,-,
4832,1,1,TP,-,
7717,1,1,TP,-,
7221,1,1,TP,-,
7168,1,1,TP,-,
8112,1,1,TP,-,
5412,1,1,TP,-,
6690,1,1,TP,-,
7485,1,0,FP,FN,
7503,0,0,TP,-,
7617,1,0,FP,FN,
7607,0,0,TP,-,
3321,1,1,TP,-,
7484,1,0,FP,FN,
5745,1,0,FP,FN,
6849,1,0,FP,FN,
8007,1,1,TP,-,
5671,1,0,FP,FN,
7330,1,1,TP,-,
236,1,1,TP,-,
3676,1,1,TP,-,
7907,1,1,TP,-,
6877,1,1,TP,-,
7655,1,1,TP,-,
5704,1,0,FP,FN,
5677,1,1,TP,-,
6821,1,1,TP,-,
7600,1,0,FP,FN,
6206,1,1,TP,-,
5139,1,0,FP,FN,
7620,1,0,FP,FN,
2522,1,1,TP,-,
449,1,1,TP,-,
7745,1,0,FP,FN,
6565,1,1,TP,-,
5933,1,1,TP,-,
7707,1,0,FP,FN,
8073,0,0,TP,-,
7947,0,0,TP,-,
6461,1,1,TP,-,
6461,1,1,TP,-,
3890,1,1,TP,-,
7212,0,0,TP,-,
7880,1,0,FP,FN,
7919,1,0,FP,FN,
7295,1,1,TP,-,
7757,0,0,TP,-,
7395,1,1,TP,-,
5558,1,1,TP,-,
7057,1,0,FP,FN,
7331,1,0,FP,FN,
6461,1,1,TP,-,
6014,1,1,TP,-,
7622,0,0,TP,-,
7604,1,1,TP,-,
1123,1,1,TP,-,
6461,1,1,TP,-,
7828,1,0,FP,FN,
6600,1,1,TP,-,
6349,1,0,FP,FN,
7693,1,0,FP,FN,
6600,1,1,TP,-,
7330,1,1,TP,-,
5232,1,1,TP,-,
4958,1,1,TP,-,
7331,0,0,TP,-,
7952,0,0,TP,-,
1419,1,1,TP,-,
449,1,1,TP,-,
7949,0,0,TP,-,
8072,0,0,TP,-,
214,1,1,TP,-,
7551,1,1,TP,-,
7995,1,0,FP,FN,
7655,1,1,TP,-,
7395,1,1,TP,-,
5704,1,0,FP,FN,
7693,0,0,TP,-,
7640,0,0,TP,-,
2413,1,0,FP,FN,
7812,0,0,TP,-,
7376,0,0,TP,-,
2112,1,0,FP,FN,
6839,1,1,TP,-,
1424,1,1,TP,-,
5549,1,1,TP,-,
3979,1,1,TP,-,
7814,1,1,TP,-,
5396,1,1,TP,-,
5201,1,1,TP,-,
7428,1,1,TP,-,
214,1,1,TP,-,
7080,1,1,TP,-,
849,1,1,TP,-,
7593,0,1,FP,-,
5549,1,1,TP,-,
7839,0,0,TP,-,
5447,1,1,TP,-,
366,1,1,TP,-,
7378,1,1,TP,-,
5549,1,1,TP,-,
8020,1,1,TP,-,
7828,1,0,FP,FN,
6349,1,0,FP,FN,
6638,1,1,TP,-,
7737,1,1,TP,-,
7530,1,1,TP,-,
449,1,1,TP,-,
6766,1,1,TP,-,
849,1,1,TP,-,
1269,1,1,TP,-,
3169,1,1,TP,-,
7378,1,1,TP,-,
5412,1,1,TP,-,
7849,1,1,TP,-,
7773,1,1,TP,-,
854,1,1,TP,-,
7660,1,0,FP,FN,
6877,1,0,FP,FN,
7801,1,1,TP,-,
7137,1,1,TP,-,
5027,1,1,TP,-,
3525,1,1,TP,-,
5558,1,1,TP,-,
4008,1,0,FP,FN,
3218,1,0,FP,FN,
7773,1,1,TP,-,
7824,1,1,TP,-,
5181,1,1,TP,-,
4746,1,1,TP,-,
1269,1,1,TP,-,
8082,1,0,FP,FN,
1269,1,1,TP,-,
7849,1,1,TP,-,
7580,0,0,TP,-,
7699,1,0,FP,FN,
3221,1,1,TP,-,
6918,1,0,FP,FN,
2451,0,0,TP,-,
6821,1,0,FP,FN,
6839,1,1,TP,-,
7754,1,1,TP,-,
7804,1,1,TP,-,
4504,1,1,TP,-,
6565,1,1,TP,-,
7542,1,1,TP,-,
7880,1,0,FP,FN,
7848,1,1,TP,-,
7786,1,1,TP,-,
7849,1,1,TP,-,
7614,1,1,TP,-,
7170,1,1,TP,-,
5933,1,1,TP,-,
7376,0,0,TP,-,
6379,0,0,TP,-,
7773,1,1,TP,-,
6565,1,1,TP,-,
4958,1,1,TP,-,
6205,1,1,TP,-,
7900,0,0,TP,-,
7407,1,1,TP,-,
7395,1,1,TP,-,
5671,0,0,TP,-,
8036,1,1,TP,-,
7338,1,1,TP,-,
6832,1,0,FP,FN,
5644,1,1,TP,-,
6821,1,1,TP,-,
7378,1,1,TP,-,
7243,1,0,FP,FN,
5181,1,1,TP,-,
3169,1,1,TP,-,
8030,1,0,FP,FN,
4314,1,1,TP,-,
7542,1,1,TP,-,
8111,0,1,FP,-,
7786,1,1,TP,-,
7397,0,0,TP,-,
8015,1,0,FP,FN,
854,1,1,TP,-,
7528,1,0,FP,FN,
7663,1,1,TP,-,
2522,1,1,TP,-,
7801,1,0,FP,FN,
4746,1,1,TP,-,
7558,1,1,TP,-,
3169,1,1,TP,-,
5396,1,1,TP,-,
7779,1,1,TP,-,
4314,1,1,TP,-,
6461,1,1,TP,-,
6083,1,1,TP,-,
3321,1,1,TP,-,
7588,1,1,TP,-,
5549,1,1,TP,-,
5933,1,1,TP,-,
3525,1,1,TP,-,
5761,0,0,TP,-,
6504,0,0,TP,-,
6877,1,1,TP,-,
7943,1,1,TP,-,
7909,1,1,TP,-,
3169,1,1,TP,-,
7943,1,1,TP,-,
7554,0,0,TP,-,
5679,1,1,TP,-,
7943,1,1,TP,-,
6600,1,1,TP,-,
3321,1,1,TP,-,
7742,1,1,TP,-,
7912,0,0,TP,-,
849,1,1,TP,-,
6791,1,0,FP,FN,
5745,0,0,TP,-,
7690,0,0,TP,-,
236,1,1,TP,-,
6978,1,1,TP,-,
5000,1,1,TP,-,
3979,1,1,TP,-,
7330,1,1,TP,-,
4385,1,1,TP,-,
7824,1,0,FP,FN,
8017,0,0,TP,-,
7828,1,0,FP,FN,
7080,1,1,TP,-,
7804,1,1,TP,-,
5704,1,1,TP,-,
7613,1,0,FP,FN,
7836,1,0,FP,FN,
7650,0,0,TP,-,
7588,1,0,FP,FN,
7760,0,0,TP,-,
5549,1,1,TP,-,
7800,1,1,TP,-,
7616,0,0,TP,-,
4314,1,1,TP,-,
5396,1,1,TP,-,
6582,0,0,TP,-,
6600,1,1,TP,-,
214,1,1,TP,-,
6582,0,0,TP,-,
7243,0,0,TP,-,
7243,0,0,TP,-,
3676,1,1,TP,-,
6379,1,0,FP,FN,
7551,1,1,TP,-,
7643,0,0,TP,-,
6885,1,1,TP,-,
7758,0,0,TP,-,
5549,1,1,TP,-,
4807,1,1,TP,-,
7766,0,1,FP,-,
7847,1,0,FP,FN,
1419,1,1,TP,-,
7430,1,1,TP,-,
7485,1,0,FP,FN,
366,1,1,TP,-,
3318,1,1,TP,-,
7823,1,1,TP,-,
2897,1,1,TP,-,
4958,1,1,TP,-,
7421,1,0,FP,FN,
1424,1,1,TP,-,
6765,1,1,TP,-,
7212,1,0,FP,FN,
6360,1,1,TP,-,
3321,1,1,TP,-,
5181,1,1,TP,-,
7699,1,0,FP,FN,
7392,1,0,FP,FN,
3827,1,1,TP,-,
3321,1,1,TP,-,
8086,0,1,FP,-,
7528,1,1,TP,-,
7737,1,0,FP,FN,
7960,0,0,TP,-,
3169,1,1,TP,-,
6934,1,1,TP,-,
366,1,1,TP,-,
8150,1,1,TP,-,
4775,1,1,TP,-,
5558,1,1,TP,-,
6213,0,0,TP,-,
7614,1,1,TP,-,
7542,1,1,TP,-,
5588,1,1,TP,-,
7137,1,1,TP,-,
6658,0,0,TP,-,
7080,1,1,TP,-,
7773,1,1,TP,-,
6638,1,1,TP,-,
7376,0,0,TP,-,
4807,1,1,TP,-,
7757,0,0,TP,-,
4137,1,1,TP,-,
7170,1,1,TP,-,
5412,1,1,TP,-,
8052,1,1,TP,-,
6638,1,1,TP,-,
7280,1,0,FP,FN,
8009,1,1,TP,-,
6083,1,1,TP,-,
7226,1,1,TP,-,
7168,1,1,TP,-,
5447,1,1,TP,-,
6765,1,1,TP,-,
6028,1,1,TP,-,
7619,1,0,FP,FN,
7741,1,1,TP,-,
7407,1,1,TP,-,
5027,1,1,TP,-,
4746,1,1,TP,-,
854,1,1,TP,-,
3890,1,1,TP,-,
7226,1,1,TP,-,
7528,1,0,FP,FN,
7952,0,0,TP,-,
7814,1,1,TP,-,
7909,1,1,TP,-,
236,1,1,TP,-,
2112,1,1,TP,-,
7693,1,0,FP,FN,
7685,1,1,TP,-,
5232,1,1,TP,-,
6014,1,1,TP,-,
7811,0,1,FP,-,
7857,0,0,TP,-,
5280,1,1,TP,-,
7330,1,1,TP,-,
7536,1,1,TP,-,
7269,1,1,TP,-,
7314,0,0,TP,-,
7545,1,1,TP,-,
7312,1,0,FP,FN,
7737,1,1,TP,-,
7938,0,0,TP,-,
6210,1,1,TP,-,
7932,1,0,FP,FN,
3894,0,0,TP,-,
7428,1,1,TP,-,
7430,1,1,TP,-,
7770,0,1,FP,-,
3217,1,0,FP,FN,
7814,1,1,TP,-,
7798,1,1,TP,-,
7782,1,0,FP,FN,
7057,1,1,TP,-,
7685,1,1,TP,-,
6978,1,1,TP,-,
5506,0,0,TP,-,
7715,1,0,FP,FN,
5139,1,1,TP,-,
7503,0,1,FP,-,
6205,1,1,TP,-,
442,1,1,TP,-,
5396,1,1,TP,-,
4314,1,1,TP,-,
6321,0,0,TP,-,
7742,0,0,TP,-,
6206,1,1,TP,-,
7975,0,0,TP,-,
7708,1,1,TP,-,
6918,1,0,FP,FN,
7963,1,1,TP,-,
7645,0,0,TP,-,
8093,1,0,FP,FN,
6600,1,1,TP,-,
1269,1,1,TP,-,
4008,1,0,FP,FN,
7617,0,0,TP,-,
5679,1,0,FP,FN,
3318,1,1,TP,-,
7660,1,0,FP,FN,
3318,1,1,TP,-,
214,1,1,TP,-,
7774,1,1,TP,-,
7618,1,1,TP,-,
6014,1,1,TP,-,
1123,1,1,TP,-,
7892,0,0,TP,-,
8145,1,1,TP,-,
3160,1,1,TP,-,
5965,1,1,TP,-,
3780,1,1,TP,-,
5506,1,0,FP,FN,
7555,0,0,TP,-,
7530,1,1,TP,-,
7212,0,0,TP,-,
5933,1,1,TP,-,
7706,1,1,TP,-,
7168,1,1,TP,-,
7735,0,0,TP,-,
6205,1,1,TP,-,
6203,1,1,TP,-,
7080,1,1,TP,-,
7880,1,0,FP,FN,
7975,0,0,TP,-,
7873,1,1,TP,-,
5679,0,1,FP,-,
7012,0,0,TP,-,
6658,1,0,FP,FN,
7943,1,1,TP,-,
2233,0,0,TP,-,
5506,0,0,TP,-,
7785,1,0,FP,FN,
7312,1,0,FP,FN,
7996,1,1,TP,-,
5232,1,1,TP,-,
7607,1,0,FP,FN,
7168,1,1,TP,-,
3326,1,1,TP,-,
7699,0,0,TP,-,
5412,1,1,TP,-,
7890,1,1,TP,-,
849,1,1,TP,-,
6205,1,1,TP,-,
5181,1,1,TP,-,
7861,0,0,TP,-,
5646,1,1,TP,-,
7849,1,1,TP,-,
6685,1,1,TP,-,
6014,1,1,TP,-,
7430,1,1,TP,-,
3890,1,1,TP,-,
5644,1,1,TP,-,
7430,1,1,TP,-,
3525,1,1,TP,-,
7823,1,0,FP,FN,
4775,1,1,TP,-,
442,1,1,TP,-,
236,1,0,FP,FN,
3321,1,1,TP,-,
7883,0,0,TP,-,
7701,0,0,TP,-,
7818,1,1,TP,-,
7057,0,0,TP,-,
6565,1,1,TP,-,
7673,1,0,FP,FN,
7664,1,1,TP,-,
8039,1,0,FP,FN,
4044,1,1,TP,-,
7645,0,0,TP,-,
8023,1,1,TP,-,
4458,1,0,FP,FN,
7061,1,0,FP,FN,
7551,1,1,TP,-,
6958,0,0,TP,-,
7295,1,1,TP,-,
3321,1,1,TP,-,
7604,1,0,FP,FN,
7312,1,0,FP,FN,
7914,1,1,TP,-,
6203,1,1,TP,-,
3676,1,1,TP,-,
6582,1,1,TP,-,
854,1,1,TP,-,
7754,1,1,TP,-,
7793,0,0,TP,-,
6356,0,0,TP,-,
7104,1,1,TP,-,
4314,1,1,TP,-,
7536,1,1,TP,-,
